studentID, ì›ì˜ë°©ì •ì‹(1),ì›ì˜ë°©ì •ì‹(2),ì›ì˜ë°©ì •ì‹êµ¬í•˜ê¸°(1),ì›ì˜ë°©ì •ì‹êµ¬í•˜ê¸°(2),ì›ì˜ë°©ì •ì‹êµ¬í•˜ê¸°(3),dateÀç¿ø,º¸ÃæÇÊ¿ä,ÇĞ½À¿Ï·á,º¸ÃæÇÊ¿ä,º¸ÃæÇÊ¿ä,º¸ÃæÇÊ¿ä,2023-05-30 10:11:54.063245
Àç¿ø,F,complete,F,F,º¸ÃæÇÊ¿ä,2023-05-30 10:15:57.444180
Àç¿ø,F,F,complete,F,º¸ÃæÇÊ¿ä,2023-05-30 10:16:46.997070
Àç¿ø,F,F,F,F,complete,2023-05-30 10:50:35.579480
Àç¿ø,F,complete,F,F,º¸ÃæÇÊ¿ä,2023-05-30 10:52:14.984081
Àç¿ø,8,8,8,8,8,2023-05-30 10:54:30.987201
Àç¿ø,1,2,3,4,5,2023-05-30 10:55:53.876668
Àç¿ø,1,2,3,4,5,2023-05-30 10:55:55.017701
Àç¿ø,1,2,3,4,5,2023-05-30 10:57:47.117378
Àç¿ø,1,2,3,4,5,2023-05-30 11:00:27.633346
Àç¿ø,1,1,2,3,5,2023-05-30 11:00:57.445424
Àç¿ø,5,5,5,5,5,2023-05-30 11:02:00.135671
Àç¿ø,1,2,3,4,5,2023-05-30 11:03:43.001627
Àç¿ø,F,F,F,F,complete,2023-05-30 11:04:26.383297
Àç¿ø,F,F,F,F,F,2023-05-30 11:11:47.484630
Àç¿ø,F,F,F,F,F,2023-05-30 11:14:23.282779
±èÀçÇü,F,F,complete,F,complete,2023-05-30 15:05:37.549368
±èÀçÇü,F,F,complete,F,complete,2023-05-30 15:13:14.477260
asdf,F,F,F,F,F,2023-05-30 16:44:49.152750
asdf,F,F,F,F,F,2023-05-30 16:44:51.598579
asdf,F,F,F,F,F,2023-05-30 16:45:42.828833
asdf,F,F,F,F,F,2023-05-30 16:45:43.900142
asdf,F,F,F,F,F,2023-05-30 16:45:44.428595
asdf,F,F,F,F,F,2023-05-30 16:45:48.928861
asdf,F,F,F,F,F,2023-05-30 16:45:49.754491
asdf,F,F,F,F,F,2023-05-30 16:45:50.200386
asdf,complete,complete,complete,complete,complete,2023-05-30 16:53:00.557310
asdf,F,F,F,F,complete,2023-05-30 16:54:48.827993
±èÇö¿ì,complete,complete,complete,complete,complete,2023-05-31 10:13:22.782960
±èÇö¿ì,F,F,F,F,complete,2023-05-31 10:13:40.817992
qweqrewrqw,F,F,F,F,complete,2023-05-31 10:33:36.404870
qweqrewrqw,F,F,F,F,complete,2023-05-31 10:33:38.363226
qweqrewrqw,F,F,F,F,complete,2023-05-31 10:34:30.428874
qweqrewrqw,F,F,F,F,complete,2023-05-31 10:34:41.134925
±èÇö¿ì,F,F,F,F,F,2023-05-31 10:40:44.480285
±èÇö¿ì,F,F,F,F,complete,2023-05-31 10:40:55.429199
±èÇö¿ì,,,,,complete,2023-05-31 10:56:05.489825
±èÇö¿ì,F,F,F,F,complete,2023-05-31 10:59:00.013729
Á¤Àç¿ø,F,F,F,F,complete,2023-05-31 11:33:54.431669
Á¤Àç¿ø,F,F,F,F,complete,2023-05-31 11:33:59.317754
Á¤Àç¿ø,F,F,F,F,complete,2023-05-31 11:34:13.594150
Á¤Àç¿ø,F,F,F,F,complete,2023-05-31 11:36:11.676054
Á¤Àç¿ø,F,F,F,F,complete,2023-05-31 11:37:39.141302
xczxc,F,F,F,F,complete,2023-05-31 15:18:09.684270
xczxc,complete,complete,complete,complete,complete,2023-05-31 15:18:47.404626
xczxc,complete,complete,complete,complete,F,2023-05-31 15:18:54.470409
xczxc,complete,complete,complete,complete,F,2023-05-31 15:18:55.195103
xczxc,F,F,F,F,complete,2023-05-31 15:19:35.492487
xczxc,complete,complete,complete,complete,complete,2023-05-31 15:31:31.739841
xczxc,complete,complete,complete,complete,complete,2023-05-31 15:31:33.282940
xczxc,complete,complete,complete,F,complete,2023-05-31 15:32:10.389538
xczxc,complete,complete,complete,F,complete,2023-05-31 15:34:49.810276
xczxc,complete,complete,complete,F,complete,2023-05-31 15:35:38.772314
xczxc,F,F,F,F,F,2023-05-31 15:35:50.469992
È÷¿À½º ¾²·¹±â °×,complete,complete,complete,complete,complete,2023-05-31 16:38:19.112498
È÷¿À½º ¾²·¹±â °×,complete,complete,complete,F,F,2023-05-31 16:39:37.178820
È÷¿À½º ¾²·¹±â °×,F,F,complete,F,complete,2023-05-31 16:41:46.769889
È÷¿À½º ¾²·¹±â °×,F,F,complete,F,complete,2023-05-31 16:41:47.061989
È÷¿À½º ¾²·¹±â °×,F,F,complete,F,complete,2023-05-31 16:41:47.333748
È÷¿À½º ¾²·¹±â °×,F,F,complete,F,complete,2023-05-31 16:41:47.602757
È÷¿À½º ¾²·¹±â °×,F,F,complete,F,complete,2023-05-31 16:41:47.777886
È÷¿À½º ¾²·¹±â °×,F,F,complete,F,complete,2023-05-31 16:41:48.061090
¹ÎÁØ Å´,complete,complete,F,F,complete,2023-05-31 16:58:08.975196
¹ÎÁØ Å´,F,F,complete,complete,complete,2023-05-31 16:58:33.304863
¹ÎÁØ Å´,F,F,complete,complete,complete,2023-05-31 16:58:33.729401
·Î±×ÀÎ,F,F,F,F,complete,2023-05-31 17:01:29.701138
dfa,F,F,F,F,F,2023-05-31 17:17:45.855275
f5,F,F,F,F,F,2023-05-31 17:22:48.252683
peter@naver.com,F,F,F,F,complete,2023-05-31 17:45:53.221246
aa,F,F,F,F,complete,2023-06-04 23:49:55.374317
aa,F,F,F,F,complete,2023-06-05 12:33:20.379020
aa,F,F,F,F,complete,2023-06-07 17:24:51.378773
aa,F,F,F,complete,complete,2023-06-07 17:25:40.415102
jjw@ab.com,F,F,complete,F,complete,2023-06-13 15:31:44.397250
jjw@ab.com,complete,complete,complete,F,complete,2023-06-13 15:32:26.900959
jjw@ab.com,complete,complete,complete,complete,F,2023-06-13 15:32:49.649099
jjw@ab.com,complete,complete,complete,F,complete,2023-06-13 15:33:12.328372
jjw@ab.com,F,complete,complete,F,complete,2023-06-13 15:33:35.997078
jjw09@na.com,F,complete,complete,F,complete,2023-06-13 15:48:12.842104
aa,F,F,F,F,complete,2023-07-19 22:42:23.946234
